SOC	Job Title	Employment Prospects	Annual Average Openings	"Entry Level Education Required
(per Bureau of Labor Statistics)"	"Work Experience Required
(per Bureau of Labor Statistics)"	"On-the-Job Training Required
(per Bureau of Labor Statistics)"	"Usual Education
Attained by Members of this Occupation*"
SocCode	JobTitle	Prospects	AnnualAvgOpenings	EntryEduLevel	ReqWorkExp	ReqJobTraining	AverageEduLevel
25-1122	"Communications Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1123	"English Language and Literature Teachers, Postsecondary"	Very Favorable	70	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1124	"Foreign Language and Literature Teachers, Postsecondary"	Very Favorable	40	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1125	"History Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1126	"Philosophy and Religion Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1191	Graduate Teaching Assistants	Favorable	30	Master's degree	None	None	Doctoral or professional degree
25-1193	"Recreation and Fitness Studies Teachers, Postsecondary"	Very Favorable	10	Master's degree	None	None	Doctoral or professional degree
25-1194	"Vocational Education Teachers, Postsecondary"	Very Favorable	70	Bachelor's degree	1 to 5 years	None	Doctoral or professional degree
25-1199	"Postsecondary Teachers, All Other"	Very Favorable	260	Master's degree	None	None	Doctoral or professional degree
25-2011	"Preschool Teachers, Except Special Education"	Very Favorable	460	Associate's degree	None	None	Bachelor's degree
25-2012	"Kindergarten Teachers, Except Special Education"	Very Favorable	180	Bachelor's degree	None	Internship/residency	Master's degree
25-2021	"Elementary School Teachers, Except Special Education"	Very Favorable	1170	Bachelor's degree	None	Internship/residency	Master's degree
25-2022	"Middle School Teachers, Except Special and Career/Technical Education"	Very Favorable	380	Bachelor's degree	None	Internship/residency	Master's degree
25-2023	"Career/Technical Education Teachers, Middle School"	Very Unfavorable	10	Bachelor's degree	1 to 5 years	Internship/residency	Master's degree
25-2041	"Special Education Teachers, Preschool, Kindergarten, and Elementary School"	Very Favorable	490	Bachelor's degree	None	Internship/residency	Master's degree
25-3011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	Very Favorable	170	Bachelor's degree	None	Internship/residency	Master's degree
25-3021	Self-Enrichment Education Teachers	Very Favorable	570	High school diploma or equivalent	1 to 5 years	None	Bachelor's degree
25-3999	"Teachers and Instructors, All Other"	Very Favorable	450	Bachelor's degree	None	None	Bachelor's degree
25-4011	Archivists	Very Favorable	30	Bachelor's degree	None	None	Master's degree
25-4012	Curators	Very Favorable	40	Master's degree	None	None	Master's degree
25-4013	Museum Technicians and Conservators	Very Favorable	30	Bachelor's degree	None	None	Master's degree
25-4021	Librarians	Favorable	120	Master's degree	None	None	Master's degree
25-4031	Library Technicians	Very Favorable	150	Postsecondary non-degree award	None	None	High school
25-9031	Instructional Coordinators	Very Favorable	160	Master's degree	More than 5 years	None	Master's degree
25-9041	Teacher Assistants	Very Favorable	1250	High school diploma or equivalent	None	Short-term on-the-job training	"Some college, no degree"
25-9099	"Education, Training, and Library Workers, All Other"	Very Favorable	30	Bachelor's degree	None	None	Master's degree
27-1011	Art Directors	Very Favorable	220	Bachelor's degree	1 to 5 years	None	Bachelor's degree
27-1013	"Fine Artists, Including Painters, Sculptors, and Illustrators"	Favorable	70	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-1014	Multi-Media Artists and Animators	Favorable	110	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
27-1021	Commercial and Industrial Designers	Favorable	70	Bachelor's degree	None	None	Bachelor's degree
27-1022	Fashion Designers	Unfavorable	240	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-1023	Floral Designers	Very Unfavorable	70	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
27-1024	Graphic Designers	Very Favorable	510	Bachelor's degree	None	None	Bachelor's degree
27-1025	Interior Designers	Very Favorable	150	Bachelor's degree	None	None	Bachelor's degree
27-1026	Merchandise Displayers and Window Trimmers	Favorable	90	High school diploma or equivalent	None	Moderate-term on-the-job training	Bachelor's degree
27-1027	Set and Exhibit Designers	Favorable	70	Bachelor's degree	None	None	Bachelor's degree
27-1029	"Designers, All Other"	Favorable	60	Bachelor's degree	None	None	Bachelor's degree
27-2011	Actors	Very Favorable	240	"Some college, no degree"	None	Long-term on-the-job training	Bachelor's degree
27-2012	Producers and Directors	Very Favorable	630	Bachelor's degree	1 to 5 years	None	Bachelor's degree
27-2022	Coaches and Scouts	Very Favorable	160	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-2023	"Umpires, Referees, and Other Sports Officials"	Very Favorable	30	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-2031	Dancers	Very Favorable	120	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-2041	Music Directors and Composers	Favorable	80	Bachelor's degree	1 to 5 years	None	Bachelor's degree
27-2042	Musicians and Singers	Very Favorable	290	High school diploma or equivalent	None	Long-term on-the-job training	Bachelor's degree
27-3011	Radio and Television Announcers	Unfavorable	40	Bachelor's degree	None	None	Bachelor's degree
27-3012	Public Address System and Other Announcers	Favorable	20	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
27-3021	Broadcast News Analysts	Favorable	20	Bachelor's degree	None	None	Bachelor's degree
27-3022	Reporters and Correspondents	Very Unfavorable	120	Bachelor's degree	None	None	Bachelor's degree
27-3031	Public Relations Specialists	Very Favorable	690	Bachelor's degree	None	Moderate-term on-the-job training	Bachelor's degree
27-3041	Editors	Unfavorable	480	Bachelor's degree	1 to 5 years	None	Bachelor's degree
27-3042	Technical Writers	Very Favorable	40	Bachelor's degree	1 to 5 years	Short-term on-the-job training	Master's degree
27-3043	Writers and Authors	Very Favorable	340	Bachelor's degree	None	Long-term on-the-job training	Bachelor's degree
27-3091	Interpreters and Translators	Very Favorable	170	Bachelor's degree	None	Long-term on-the-job training	Bachelor's degree
27-3099	"Media and Communication Workers, All Other"	Favorable	60	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
27-4011	Audio and Video Equipment Technicians	Very Favorable	270	Postsecondary non-degree award	None	Moderate-term on-the-job training	Bachelor's degree
27-4012	Broadcast Technicians	Favorable	110	Associate's degree	None	Short-term on-the-job training	Bachelor's degree
27-4014	Sound Engineering Technicians	Unfavorable	90	Postsecondary non-degree award	None	Short-term on-the-job training	Bachelor's degree
