ID	TEXT	FAQ_RESPONSESOURCEID
634197	Unknown	5023
634198	Unknown	5023
634199	Unknown	5023
634200	Unknown	5023
634201	Unknown	5023
634202	Unknown	5023
634203	Unknown	5023
634204	Unknown	5023
634205	Unknown	5023
634206	Unknown	5023
634207	Unknown	5023
634208	Unknown	5023
634209	Unknown	5023
634210	Unknown	5023
634211	Unknown	5023
634212	Unknown	5023
634213	Unknown	5023
634214	Unknown	5023
634215	Unknown	5023
634216	Unknown	5023
634217	Unknown	5023
634218	Unknown	5023
634219	Unknown	5023
634220	Unknown	5023
634221	Unknown	5023
634222	Unknown	5023
634223	Unknown	5023
634224	Unknown	5023
634225	Unknown	5023
634226	Unknown	5023
634227	Unknown	5023
634228	Unknown	5023
634229	Unknown	5023
634230	Unknown	5023
634231	Unknown	5023
634232	Unknown	5023
634233	Unknown	5023
634234	Unknown	5023
634235	Unknown	5023
634236	Unknown	5023
634237	Unknown	5023
634238	Unknown	5023
634239	Unknown	5023
634240	Unknown	5023
634241	Unknown	5023
634242	Unknown	5023
634243	Unknown	5023
634244	Unknown	5023
634245	Unknown	5023
634246	Unknown	5023
634247	Unknown	5023
634248	Unknown	5023
634249	Unknown	5023
634250	Unknown	5023
634251	Unknown	5023
634252	Unknown	5023
634253	Unknown	5023
634254	Unknown	5023
634255	Unknown	5023
634256	Unknown	5023
634257	Unknown	5023
634258	Unknown	5023
634259	Unknown	5023
634260	Unknown	5023
634261	Unknown	5023
634262	Unknown	5023
634263	Unknown	5023
634264	Unknown	5023
634265	Unknown	5023
634266	Unknown	5023
634267	Unknown	5023
634268	Unknown	5023
634269	Unknown	5023
634270	Unknown	5023
634271	Unknown	5023
634272	Unknown	5023
634273	Unknown	5023
634274	Unknown	5023
634275	Unknown	5023
634276	Unknown	5023
634277	Unknown	5023
634278	Unknown	5023
634279	Unknown	5023
634280	Unknown	5023
634281	Unknown	5023
634282	Unknown	5023
634283	Unknown	5023
634284	Unknown	5023
634285	Unknown	5023
634286	Unknown	5023
634287	Unknown	5023
634288	Unknown	5023
634289	Unknown	5023
634290	Unknown	5023
634291	Unknown	5023
634292	Unknown	5023
634293	Unknown	5023
634294	Unknown	5023
634295	Unknown	5023
634296	Unknown	5023
634297	Unknown	5023
634298	Unknown	5023
634299	Unknown	5023
634300	Unknown	5023
634301	Unknown	5023
634302	Unknown	5023
634303	Unknown	5023
634304	Unknown	5023
634305	Unknown	5023
634306	Unknown	5023
634307	Unknown	5023
634308	Unknown	5023
634309	Unknown	5023
634310	Unknown	5023
634311	Unknown	5023
634312	Unknown	5023
634313	Unknown	5023
634314	Unknown	5023
634315	Unknown	5023
634316	Unknown	5023
634317	Unknown	5023
634318	Unknown	5023
634319	Unknown	5023
634320	Unknown	5023
634321	Unknown	5023
634322	Unknown	5023
634323	Unknown	5023
634324	Unknown	5023
634325	Unknown	5023
634326	Unknown	5023
634327	Unknown	5023
634328	Unknown	5023
634329	Unknown	5023
634330	Unknown	5023
634331	Unknown	5023
634332	Unknown	5023
634333	Unknown	5023
634334	Unknown	5023
634335	Unknown	5023
634336	Unknown	5023
634337	Unknown	5023
634338	Unknown	5023
634339	Unknown	5023
634340	Unknown	5023
634341	Unknown	5023
634342	Unknown	5023
634343	Unknown	5023
634344	Unknown	5023
634345	Unknown	5023
634346	Unknown	5023
634347	Unknown	5023
634348	Unknown	5023
634349	Unknown	5023
634350	Unknown	5023
634351	Unknown	5023
634352	Unknown	5023
634353	Unknown	5023
634354	Unknown	5023
634355	Unknown	5023
634356	Unknown	5023
634357	Unknown	5023
634358	Unknown	5023
634359	Unknown	5023
634360	Unknown	5023
634361	Unknown	5023
634362	Unknown	5023
634363	Unknown	5023
634364	Unknown	5023
634365	Unknown	5023
634366	Unknown	5023
634367	Unknown	5023
634368	Unknown	5023
634369	Unknown	5023
634370	Unknown	5023
634371	Unknown	5023
634372	Unknown	5023
634373	Unknown	5023
634374	Unknown	5023
634375	Unknown	5023
634376	Unknown	5023
634377	Unknown	5023
634378	Unknown	5023
634379	Unknown	5023
634380	Unknown	5023
634381	Unknown	5023
634382	Unknown	5023
634383	Unknown	5023
634384	Unknown	5023
634385	Unknown	5023
634386	Unknown	5023
634387	Unknown	5023
634388	Unknown	5023
634389	Unknown	5023
634390	Unknown	5023
634391	Unknown	5023
634392	Unknown	5023
634393	Unknown	5023
634394	Unknown	5023
634395	Unknown	5023
634396	Unknown	5023
634397	Unknown	5023
634398	Unknown	5023
634399	Unknown	5023
634400	Unknown	5023
634401	Unknown	5023
634402	Unknown	5023
634403	Unknown	5023
634404	Unknown	5023
634405	Unknown	5023
634406	Unknown	5023
634407	Unknown	5023
634408	Unknown	5023
634409	Unknown	5023
634410	Unknown	5023
634411	Unknown	5023
634412	Unknown	5023
634413	Unknown	5023
634414	Unknown	5023
634415	Unknown	5023
634416	Unknown	5023
634417	Unknown	5023
634418	Unknown	5023
634419	Unknown	5023
634420	Unknown	5023
634421	Unknown	5023
634422	Unknown	5023
634423	Unknown	5023
634424	Unknown	5023
634425	Unknown	5023
634426	Unknown	5023
634427	Unknown	5023
634428	Unknown	5023
634429	Unknown	5023
634430	Unknown	5023
634431	Unknown	5023
634432	Unknown	5023
634433	Unknown	5023
634434	Unknown	5023
634435	Unknown	5023
634436	Unknown	5023
634437	Unknown	5023
634438	Unknown	5023
634439	Unknown	5023
634440	Unknown	5023
634441	Unknown	5023
634442	Unknown	5023
634443	Unknown	5023
634444	Unknown	5023
634445	Unknown	5023
634446	Unknown	5023
634447	Unknown	5023
634448	Unknown	5023
634449	Unknown	5023
634450	Unknown	5023
634451	Unknown	5023
634452	Unknown	5023
634453	Unknown	5023
634454	Unknown	5023
634455	Unknown	5023
634456	Unknown	5023
634457	Unknown	5023
634458	Unknown	5023
634459	Unknown	5023
634460	Unknown	5023
634461	Unknown	5023
634462	Unknown	5023
634463	Unknown	5023
634464	Unknown	5023
634465	Unknown	5023
634466	Unknown	5023
634467	Unknown	5023
634468	Unknown	5023
634469	Unknown	5023
634470	Unknown	5023
634471	Unknown	5023
634472	Unknown	5023
634473	Unknown	5023
634474	Unknown	5023
634475	Unknown	5023
634476	Unknown	5023
634477	Unknown	5023
634478	Unknown	5023
634479	Unknown	5023
634480	Unknown	5023
634481	Unknown	5023
634482	Unknown	5023
634483	Unknown	5023
634484	Unknown	5023
634485	Unknown	5023
634486	Unknown	5023
634487	Unknown	5023
634488	Unknown	5023
634489	Unknown	5023
634490	Unknown	5023
634491	Unknown	5023
634492	Unknown	5023
634493	Unknown	5023
634494	Unknown	5023
634495	Unknown	5023
634496	Unknown	5023
634497	Unknown	5023
634498	Unknown	5023
634499	Unknown	5023
634500	Unknown	5023
634501	Unknown	5023
634502	Unknown	5023
634503	Unknown	5023
634504	Unknown	5023
634505	Unknown	5023
634506	Unknown	5023
634507	Unknown	5023
634508	Unknown	5023
634509	Unknown	5023
634510	Unknown	5023
634511	Unknown	5023
634512	Unknown	5023
634513	Unknown	5023
634514	Unknown	5023
634515	Unknown	5023
634516	Unknown	5023
634517	Unknown	5023
634518	Unknown	5023
634519	Unknown	5023
634520	Unknown	5023
634521	Unknown	5023
634522	Unknown	5023
634523	Unknown	5023
634524	Unknown	5023
634525	Unknown	5023
634526	Unknown	5023
634527	Unknown	5023
634528	Unknown	5023
634529	Unknown	5023
634530	Unknown	5023
634531	Unknown	5023
634532	Unknown	5023
634533	Unknown	5023
634534	Unknown	5023
634535	Unknown	5023
634536	Unknown	5023
634537	Unknown	5023
634538	Unknown	5023
634539	Unknown	5023
634540	Unknown	5023
634541	Unknown	5023
634542	Unknown	5023
634543	Unknown	5023
634544	Unknown	5023
634545	Unknown	5023
634546	Unknown	5023
634547	Unknown	5023
634548	Unknown	5023
634549	Unknown	5023
634550	Unknown	5023
634551	Unknown	5023
634552	Unknown	5023
634553	Unknown	5023
634554	Unknown	5023
634555	Unknown	5023
634556	Unknown	5023
634557	Unknown	5023
634558	Unknown	5023
634559	Unknown	5023
634560	Unknown	5023
634561	Unknown	5023
634562	Unknown	5023
634563	Unknown	5023
634564	Unknown	5023
634565	Unknown	5023
634566	Unknown	5023
634567	Unknown	5023
634568	Unknown	5023
634569	Unknown	5023
634570	Unknown	5023
634571	Unknown	5023
634572	Unknown	5023
634573	Unknown	5023
634574	Unknown	5023
634575	Unknown	5023
634576	Unknown	5023
634577	Unknown	5023
634578	Unknown	5023
634579	Unknown	5023
634580	Unknown	5023
634581	Unknown	5023
634582	Unknown	5023
634583	Unknown	5023
634584	Unknown	5023
634585	Unknown	5023
634586	Unknown	5023
634587	Unknown	5023
634588	Unknown	5023
634589	Unknown	5023
634590	Unknown	5023
634591	Unknown	5023
634592	Unknown	5023
634593	Unknown	5023
634594	Unknown	5023
634595	Unknown	5023
634596	Unknown	5023
634597	Unknown	5023
634598	Unknown	5023
634599	Unknown	5023
634600	Unknown	5023
634601	Unknown	5023
634602	Unknown	5023
634603	Unknown	5023
634604	Unknown	5023
634605	Unknown	5023
634606	Unknown	5023
634607	Unknown	5023
634608	Unknown	5023
634609	Unknown	5023
634610	Unknown	5023
634611	Unknown	5023
634612	Unknown	5023
634613	Unknown	5023
634614	Unknown	5023
634615	Unknown	5023
634616	Unknown	5023
634617	Unknown	5023
634618	Unknown	5023
634619	Unknown	5023
634620	Unknown	5023
634621	Unknown	5023
634622	Unknown	5023
634623	Unknown	5023
634624	Unknown	5023
634625	Unknown	5023
634626	Unknown	5023
634627	Unknown	5023
634628	Unknown	5023
634629	Unknown	5023
634630	Unknown	5023
634631	Unknown	5023
634632	Unknown	5023
634633	Unknown	5023
634634	Unknown	5023
634635	Unknown	5023
634636	Unknown	5023
634637	Unknown	5023
634638	Unknown	5023
634639	Unknown	5023
634640	Unknown	5023
634641	Unknown	5023
634642	Unknown	5023
634643	Unknown	5023
634644	Unknown	5023
634645	Unknown	5023
634646	Unknown	5023
634647	Unknown	5023
634648	Unknown	5023
634649	Unknown	5023
634650	Unknown	5023
634651	Unknown	5023
634652	Unknown	5023
634653	Unknown	5023
634654	Unknown	5023
634655	Unknown	5023
634656	Unknown	5023
634657	Unknown	5023
634658	Unknown	5023
634659	Unknown	5023
634660	Unknown	5023
634661	Unknown	5023
634662	Unknown	5023
634663	Unknown	5023
634664	Unknown	5023
634665	Unknown	5023
634666	Unknown	5023
634667	Unknown	5023
634668	Unknown	5023
634669	Unknown	5023
634670	Unknown	5023
634671	Unknown	5023
634672	Unknown	5023
634673	Unknown	5023
634674	Unknown	5023
634675	Unknown	5023
634676	Unknown	5023
634677	Unknown	5023
634678	Unknown	5023
634679	Unknown	5023
634680	Unknown	5023
634681	Unknown	5023
634682	Unknown	5023
634683	Unknown	5023
634684	Unknown	5023
634685	Unknown	5023
634686	Unknown	5023
634687	Unknown	5023
634688	Unknown	5023
634689	Unknown	5023
634690	Unknown	5023
634691	Unknown	5023
634692	Unknown	5023
634693	Unknown	5023
634694	Unknown	5023
634695	Unknown	5023
634696	Unknown	5023
634697	Unknown	5023
634698	Unknown	5023
634699	Unknown	5023
634700	Unknown	5023
634701	Unknown	5023
634702	Unknown	5023
634703	Unknown	5023
634704	Unknown	5023
634705	Unknown	5023
634706	Unknown	5023
634707	Unknown	5023
634708	Unknown	5023
634709	Unknown	5023
634710	Unknown	5023
634711	Unknown	5023
634712	Unknown	5023
634713	Unknown	5023
